id,name,description,latitude,longitude,category,address,image_url,created_at,updated_at
02dcaa3d-42de-402c-ba22-d903117ede7a,Palmares Skate Park,"Espaço vibrante e comunitário integrado à Praça Palmares, com pista de skate, iluminação, bancos e canteiros. Ideal para treinos técnicos, recreação e eventos culturais ao ar livre. O busto de Zumbi dos Palmares reforça o vínculo histórico e cultural.",-23.96154455,-46.31650736,esporte,"Praça Zumbi dos Palmares, Macuco, Santos - SP",https://qbdofilxcfnxhaimuilu.supabase.co/storage/v1/object/public/famous-places-images/1753197223225-hrdkba.webp,2025-07-22 15:12:20.284+00,2025-07-22 15:12:20.284+00
07829aac-bca7-46df-8ed7-757c6594d88a,Ponte Pênsil de São Vicente,"Inaugurada em 21 de maio de 1914 como a primeira ponte suspensa do Brasil, com 180 m de extensão e torres de cerca de 23 m. Projetada por Saturnino de Brito para o transporte de tubulações sanitárias, tornou-se cartão‑postal e marco da engenharia local. Preserva elementos originais e é tombada como patrimônio histórico municipal.‎",-23.97701978,-46.38835430,Engenharia,"Avenida Capitão Mor Aguiar, São Vicente - SP",https://qbdofilxcfnxhaimuilu.supabase.co/storage/v1/object/public/famous-places-images/1753797922687-uyuwl2.jpg,2025-07-29 13:58:49.865407+00,2025-07-29 13:58:49.865407+00
082366c6-43e0-40c0-95d7-e9e2ee513a3c,Casa Martim Afonso,"Símbolo da fundação da primeira vila do Brasil em 22 de janeiro de 1532 por Martim Afonso de Sousa. A edificação atual foi construída em 1895 pelo Barão de Piracicaba e inaugurada em 2000 como espaço cultural. Inclui a “Casa de Madeira” que abriga o Sítio Arqueológico Bacharel: vestígio de parede em taipa datada de 1510–1520, considerada a construção mais antiga do país. O local abriga o Centro de Documentação e Memória de São Vicente (CEDOM), exposições permanentes, acervo arqueológico e programação cultural anual com encenações, oficinas e eventos.‎",-23.96891210,-46.38690600,Patrimônio Histórico,"Praça 22 de Janeiro, nº 469, Centro, São Vicente - SP",https://qbdofilxcfnxhaimuilu.supabase.co/storage/v1/object/public/famous-places-images/1753798390980-g8hvhn.jpg,2025-07-29 13:58:49.865407+00,2025-07-29 13:58:49.865407+00
08317414-16e1-4a87-87e2-cf3d4dc6d555,Outeiro de Santa Catarina,"Marcos iniciais da vila de Santos no século XVI: Luís de Góes e Catarina de Aguillar ergueram ali a capela de Santa Catarina de Alexandria, junto com a primeira Santa Casa em 1543. O outeiro serviu como fonte de pedras para o calçamento e expansão do porto até o século XIX. Em torno de 1880–84, o médico italiano João Éboli ergueu uma casa acastelada sobre a rocha remanescente, com estilo que remete a um pequeno castelo. Tombado na década de 1980 como patrimônio histórico, cultural, artístico e arqueológico, pertence hoje à Fundação Arquivo e Memória de Santos, com museu e intervenções visuais, incluindo painel de azulejos instalado em 1996. Reconhecido como marco inicial pelo município em 22 de outubro de 1922.‎",-23.93342830,-46.32249980,Marco Histórico,"Rua Visconde do Rio Branco, Centro Histórico, Santos - SP",https://qbdofilxcfnxhaimuilu.supabase.co/storage/v1/object/public/famous-places-images/1753797782587-7yqeny.jpg,2025-07-29 13:58:49.865407+00,2025-07-29 13:58:49.865407+00
0a798be9-32c8-4531-b3a2-46d1fa3d3a54,Quilombo do Pai Felipe,"Formado no final do século XIX por Pai Felipe — “Rei Batuqueiro” de origem africana. Instalou-se na Vila Mathias após fuga de Santos e liderou um quilombo marcado por resistência cultural, batucadas e ocupação indígena e africana.",-23.94251631,-46.32983118,histórico,"Vila Mathias, Santos - SP",https://qbdofilxcfnxhaimuilu.supabase.co/storage/v1/object/public/famous-places-images/1753197338632-s9y55e.webp,2025-07-22 15:12:20.284+00,2025-07-22 15:12:20.284+00
0b62b6ed-a2eb-46ea-a5c0-a2de9d7e67fe,Complexo esportivo e recreativo Rebouças,"O Rebouças oferece atividades esportivas e recreativas para varias as idades. Tem três quadras cobertas, três piscinas (recreativa, biribol e olímpica), academia, pista de cooper, ginásio com arquibancada e salas especializadas para esportes e artes marciais. As modalidades oferecidas incluem musculação, natação, hidroginástica, futsal, voleibol, basquete, dança, pilates, artes marciais, entre outras. No local também funciona a Secretaria Municipal de Esportes.",-23.98105890,-46.30030710,lazer,,https://hericmr.github.io//cartografiasocial/fotos/rebouças.jpg,2025-08-01 12:45:20.657689+00,2025-08-01 12:45:20.657689+00
105451c0-bb8a-4340-a0db-8999520c0aa3,"Biblioteca Municipal ""Mário Faria""","<p>A Biblioteca Municipal Mário Faria em Santos foi inaugurada em 31 de janeiro de 1993. Atualmente, seu atendimento é totalmente informatizado, possuindo um acervo de aproximadamente 6.000 livros, entre literatura de diversos autores e livros de pesquisa em todas as áreas, sendo boa parte circulante. A biblioteca promove mensalmente o projeto “Autor e sua Obra”, onde autores falam de seus livros, visando incentivar e divulgar os escritores e a produção literária da região. A Biblioteca Municipal Mário Faria funciona todos os dias das 09h às 19h, com entrada gratuita, se localiza na calçada. telefone (13) 3226-8000.</p>",-23.97947620,-46.31431020,lazer,,https://kbekziboncpvjqffmhlx.supabase.co/storage/v1/object/public/media/locations/46viv6eymix.png,2025-08-01 12:45:20.959234+00,2025-08-01 12:45:20.959234+00
1703548c-dd21-43ea-9fb1-eb6f823c700a,Lagoa da Saudade,"Localizada no Morro da Nova Cintra, a Lagoa da Saudade é um recanto natural cercado por vegetação e lendas locais. Um dos pontos mais tranquilos e simbólicos de Santos, onde há também uma estátua em homenagem a Mãe d'Água. O local é muito visitado por moradores e turistas em busca de sossego e contemplação.",-23.94817887,-46.35479245,turismo,"Morro da Nova Cintra, Santos - SP",https://qbdofilxcfnxhaimuilu.supabase.co/storage/v1/object/public/famous-places-images/1753190349035-1m1p03.jpg,2025-07-22 13:18:33.848569+00,2025-07-22 13:18:33.848569+00
1b5434e3-b9f3-49ea-82c3-b1f0bfc3744e,Chorinho no Aquário,"O ""Chorinho no Aquário"" é uma atividade musical que ocorre todos os sábados, a partir das 18h, na Praça Vereador Luiz La Scala, localizada na Ponta da Praia. As apresentações são gratuitas e destacam o melhor do choro, samba, MPB e bossa nova, com repertórios que incluem clássicos de ícones como Dona Ivone Lara, Cartola, Noel Rosa e Pixinguinha.",-23.98746300,-46.30805300,lazer,,https://hericmr.github.io//cartografiasocial/fotos/chorinho.jpg,2025-08-01 12:45:20.813566+00,2025-08-01 12:45:20.813566+00
216374ba-7ac9-4429-99e6-cf477da26a89,Vila Sapo,"A **Vila Sapo** é uma comunidade localizada na Ponta da Praia, em Santos, formada na década de 1960. Desde sua formação, os moradores da Vila Sapo enfrentam desafios relacionados à moradia adequada e à regularização fundiária. A história da Vila Sapo reflete a dinâmica da segregação socioespacial e da resistência comunitária, questões centrais da urbanização na cidade de Santos. Apesar das adversidades, a comunidade demonstra resistência e organização na busca por justiça e direito à cidade. Em 2011 foi fundada a Associação Habitacional Vila Sapo, que tem sido fundamental na defesa dos direitos dos moradores.",-23.98256960,-46.29481650,comunidades,,https://qbdofilxcfnxhaimuilu.supabase.co/storage/v1/object/public/famous-places-images/1754068996328-mzaxkf.jpg,2025-08-01 12:45:20.06089+00,2025-08-01 12:45:20.06089+00
